                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.56477,                0.25912,                0.80971,                0.97681,                0.97635,                0.99313,                0.77669,                0.77644,                 0.3292,                0.83209,             0.00015576,             0.00015576,             0.00015576
                     92,                0.56434,                0.26138,                0.81308,                0.96925,                0.97721,                0.99268,                0.77645,                0.77449,                0.32434,                  0.832,             0.00014161,             0.00014161,             0.00014161
                     93,                0.55201,                 0.2497,                0.81187,                0.97078,                0.98153,                0.99119,                0.78321,                0.77027,                0.31822,                0.83314,             0.00012747,             0.00012747,             0.00012747
                     94,                0.54382,                0.24739,                0.80601,                0.97517,                0.97946,                0.99318,                0.78169,                0.77165,                0.32104,                 0.8326,             0.00011332,             0.00011332,             0.00011332
                     95,                0.54129,                0.24916,                0.80734,                0.97803,                0.97772,                0.99131,                0.78161,                0.76938,                0.32247,                 0.8324,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 0.5319,                0.24459,                0.80487,                0.97943,                0.97922,                0.99288,                0.78479,                0.77104,                0.31924,                0.83174,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.53104,                 0.2423,                 0.8052,                  0.979,                0.97884,                0.99271,                0.78376,                0.76936,                  0.318,                0.83183,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.53063,                0.24169,                0.80637,                0.98182,                0.98181,                  0.993,                0.78528,                0.76354,                 0.3176,                 0.8313,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.52666,                0.24123,                0.80486,                0.98307,                0.97856,                0.99305,                0.78793,                0.76026,                0.31271,                0.83055,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.52726,                0.23913,                 0.8053,                0.98245,                0.97748,                0.99308,                 0.7893,                0.75751,                0.31414,                0.83021,             2.8437e-05,             2.8437e-05,             2.8437e-05
